歌曲ID	歌曲名	模式ID	难度	星级
2129	狐狸精	1	2	3
2129	狐狸精	1	3	3
2129	狐狸精	2	1	2
2129	狐狸精	2	2	2
2129	狐狸精	2	3	2
2129	狐狸精	3	1	3
2129	狐狸精	3	2	3
2129	狐狸精	3	3	3
2129	狐狸精	4	1	2
2129	狐狸精	4	2	2
2129	狐狸精	4	3	2
2129	狐狸精	21	1	2
2129	狐狸精	21	2	2
2129	狐狸精	21	3	2
2144	品行Zero	1	1	2
2144	品行Zero	1	2	3
2144	品行Zero	1	3	3
2144	品行Zero	2	1	3
2144	品行Zero	2	2	3
2144	品行Zero	2	3	3
2144	品行Zero	3	1	2
2144	品行Zero	3	2	3
2144	品行Zero	3	3	3
2144	品行Zero	4	1	3
2144	品行Zero	4	2	3
2144	品行Zero	4	3	3
2144	品行Zero	21	1	3
2144	品行Zero	21	2	3
2144	品行Zero	21	3	3
2158	身姿	1	1	1
2158	身姿	1	2	1
2158	身姿	1	3	1
2158	身姿	2	1	3
2158	身姿	2	2	3
2158	身姿	2	3	3
2158	身姿	3	1	1
2158	身姿	3	2	1
2158	身姿	3	3	1
2158	身姿	4	1	3
2158	身姿	4	2	3
2158	身姿	4	3	3
2158	身姿	11	1	1
2158	身姿	11	2	1
2158	身姿	11	3	1
2158	身姿	12	1	3
2158	身姿	12	2	3
2158	身姿	12	3	3
2158	身姿	13	1	1
2158	身姿	13	2	1
2158	身姿	13	3	1
2158	身姿	14	1	3
2158	身姿	14	2	3
2158	身姿	14	3	3
2158	身姿	21	1	3
2158	身姿	21	2	3
2158	身姿	21	3	3
2171	告白气球	1	1	1
2171	告白气球	1	2	1
2171	告白气球	1	3	1
2171	告白气球	2	1	1
2171	告白气球	2	2	1
2171	告白气球	2	3	1
2171	告白气球	3	1	1
2171	告白气球	3	2	1
2171	告白气球	3	3	1
2171	告白气球	4	1	1
2171	告白气球	4	2	1
2171	告白气球	4	3	1
2171	告白气球	11	1	1
2171	告白气球	11	2	1
2171	告白气球	11	3	1
2171	告白气球	12	1	1
2171	告白气球	12	2	1
2171	告白气球	12	3	1
2171	告白气球	13	1	1
2171	告白气球	13	2	1
2171	告白气球	13	3	1
2171	告白气球	14	1	1
2171	告白气球	14	2	1
2171	告白气球	14	3	1
2185	老子说	1	1	3
2185	老子说	1	2	3
2185	老子说	1	3	3
2185	老子说	2	1	3
2185	老子说	2	2	3
2185	老子说	2	3	3
2185	老子说	3	1	3
2185	老子说	3	2	3
2185	老子说	3	3	3
2185	老子说	4	1	3
2185	老子说	4	2	3
2185	老子说	4	3	3
2185	老子说	11	1	3
2185	老子说	11	2	3
2185	老子说	11	3	3
2185	老子说	12	1	3
2185	老子说	12	2	3
2185	老子说	12	3	3
2185	老子说	13	1	3
2185	老子说	13	2	3
2185	老子说	13	3	3
2185	老子说	14	1	3
2185	老子说	14	2	3
2185	老子说	14	3	3
2189	The Greatest	1	1	3
2189	The Greatest	1	2	3
2189	The Greatest	1	3	3
2189	The Greatest	2	1	1
2189	The Greatest	2	2	1
2189	The Greatest	2	3	1
2189	The Greatest	3	1	3
2189	The Greatest	3	2	3
2189	The Greatest	3	3	3
2189	The Greatest	4	1	1
2189	The Greatest	4	2	1
2189	The Greatest	4	3	1
2189	The Greatest	11	1	3
2189	The Greatest	11	2	3
2189	The Greatest	11	3	3
2189	The Greatest	12	1	1
2189	The Greatest	12	2	1
2189	The Greatest	12	3	1
2189	The Greatest	13	1	3
2189	The Greatest	13	2	3
2189	The Greatest	13	3	3
2189	The Greatest	14	1	1
2189	The Greatest	14	2	1
2189	The Greatest	14	3	1
2195	是你	1	1	1
2195	是你	1	2	1
2195	是你	1	3	2
2195	是你	2	1	3
2195	是你	2	2	3
2195	是你	2	3	3
2195	是你	3	1	1
2195	是你	3	2	1
2195	是你	3	3	2
2195	是你	4	1	3
2195	是你	4	2	3
2195	是你	4	3	3
2195	是你	11	1	1
2195	是你	11	2	1
2195	是你	11	3	2
2195	是你	12	1	3
2195	是你	12	2	3
2195	是你	12	3	3
2195	是你	13	1	1
2195	是你	13	2	1
2195	是你	13	3	2
2195	是你	14	1	3
2195	是你	14	2	3
2195	是你	14	3	3
2195	是你	21	1	3
2195	是你	21	2	3
2195	是你	21	3	3
2196	白兰花	1	1	1
2196	白兰花	1	2	1
2196	白兰花	1	3	2
2196	白兰花	2	1	1
2196	白兰花	2	2	1
2196	白兰花	2	3	1
2196	白兰花	3	1	1
2196	白兰花	3	2	1
2196	白兰花	3	3	2
2196	白兰花	4	1	1
2196	白兰花	4	2	1
2196	白兰花	4	3	1
2196	白兰花	11	1	1
2196	白兰花	11	2	1
2196	白兰花	11	3	2
2196	白兰花	12	1	1
2196	白兰花	12	2	1
2196	白兰花	12	3	1
2196	白兰花	13	1	1
2196	白兰花	13	2	1
2196	白兰花	13	3	2
2196	白兰花	14	1	1
2196	白兰花	14	2	1
2196	白兰花	14	3	1
2197	男佣	1	1	1
2197	男佣	1	2	1
2197	男佣	1	3	1
2197	男佣	2	1	1
2197	男佣	2	2	1
2197	男佣	2	3	1
2197	男佣	3	1	1
2197	男佣	3	2	1
2197	男佣	3	3	1
2197	男佣	4	1	1
2197	男佣	4	2	1
2197	男佣	4	3	1
2197	男佣	11	1	1
2197	男佣	11	2	1
2197	男佣	11	3	1
2197	男佣	12	1	1
2197	男佣	12	2	1
2197	男佣	12	3	1
2197	男佣	13	1	1
2197	男佣	13	2	1
2197	男佣	13	3	1
2197	男佣	14	1	1
2197	男佣	14	2	1
2197	男佣	14	3	1
2197	男佣	21	1	1
2197	男佣	21	2	1
2197	男佣	21	3	1
2198	双人舞	1	1	3
2198	双人舞	1	2	3
2198	双人舞	1	3	2
2198	双人舞	2	1	3
2198	双人舞	2	2	3
2198	双人舞	2	3	3
2198	双人舞	3	1	3
2198	双人舞	3	2	3
2198	双人舞	3	3	2
2198	双人舞	4	1	3
2198	双人舞	4	2	3
2198	双人舞	4	3	3
2198	双人舞	11	1	3
2198	双人舞	11	2	3
2198	双人舞	11	3	2
2198	双人舞	12	1	3
2198	双人舞	12	2	3
2198	双人舞	12	3	3
2198	双人舞	13	1	3
2198	双人舞	13	2	3
2198	双人舞	13	3	2
2198	双人舞	14	1	3
2198	双人舞	14	2	3
2198	双人舞	14	3	3
2198	双人舞	21	1	3
2198	双人舞	21	2	3
2198	双人舞	21	3	3
2199	隅田川夏恋歌	1	1	3
2199	隅田川夏恋歌	1	2	3
2199	隅田川夏恋歌	1	3	3
2199	隅田川夏恋歌	2	1	3
2199	隅田川夏恋歌	2	2	3
2199	隅田川夏恋歌	2	3	3
2199	隅田川夏恋歌	3	1	3
2199	隅田川夏恋歌	3	2	3
2199	隅田川夏恋歌	3	3	3
2199	隅田川夏恋歌	4	1	3
2199	隅田川夏恋歌	4	2	3
2199	隅田川夏恋歌	4	3	3
2199	隅田川夏恋歌	11	1	3
2199	隅田川夏恋歌	11	2	3
2199	隅田川夏恋歌	11	3	3
2199	隅田川夏恋歌	12	1	3
2199	隅田川夏恋歌	12	2	3
2199	隅田川夏恋歌	12	3	3
2199	隅田川夏恋歌	13	1	3
2199	隅田川夏恋歌	13	2	3
2199	隅田川夏恋歌	13	3	3
2199	隅田川夏恋歌	14	1	3
2199	隅田川夏恋歌	14	2	3
2199	隅田川夏恋歌	14	3	3
2200	S&M	1	1	2
2200	S&M	1	2	1
2200	S&M	1	3	1
2200	S&M	2	1	2
2200	S&M	2	2	2
2200	S&M	2	3	2
2200	S&M	3	1	2
2200	S&M	3	2	1
2200	S&M	3	3	1
2200	S&M	4	1	2
2200	S&M	4	2	2
2200	S&M	4	3	2
2200	S&M	11	1	2
2200	S&M	11	2	1
2200	S&M	11	3	1
2200	S&M	12	1	2
2200	S&M	12	2	2
2200	S&M	12	3	2
2200	S&M	13	1	2
2200	S&M	13	2	1
2200	S&M	13	3	1
2200	S&M	14	1	2
2200	S&M	14	2	2
2200	S&M	14	3	2
2200	S&M	21	1	2
2200	S&M	21	2	2
2200	S&M	21	3	2
2201	喂	1	1	3
2201	喂	1	2	3
2201	喂	1	3	3
2201	喂	2	1	3
2201	喂	2	2	3
2201	喂	2	3	3
2201	喂	3	1	3
2201	喂	3	2	3
2201	喂	3	3	3
2201	喂	4	1	3
2201	喂	4	2	3
2201	喂	4	3	3
2201	喂	11	1	3
2201	喂	11	2	3
2201	喂	11	3	3
2201	喂	12	1	3
2201	喂	12	2	3
2201	喂	12	3	3
2201	喂	13	1	3
2201	喂	13	2	3
2201	喂	13	3	3
2201	喂	14	1	3
2201	喂	14	2	3
2201	喂	14	3	3
2201	喂	21	1	3
2201	喂	21	2	3
2201	喂	21	3	3
2202	望着你怦然心动	1	1	2
2202	望着你怦然心动	1	2	3
2202	望着你怦然心动	1	3	3
2202	望着你怦然心动	2	1	1
2202	望着你怦然心动	2	2	1
2202	望着你怦然心动	2	3	1
2202	望着你怦然心动	3	1	2
2202	望着你怦然心动	3	2	3
2202	望着你怦然心动	3	3	3
2202	望着你怦然心动	4	1	1
2202	望着你怦然心动	4	2	1
2202	望着你怦然心动	4	3	1
2202	望着你怦然心动	11	1	2
2202	望着你怦然心动	11	2	3
2202	望着你怦然心动	11	3	3
2202	望着你怦然心动	12	1	1
2202	望着你怦然心动	12	2	1
2202	望着你怦然心动	12	3	1
2202	望着你怦然心动	13	1	2
2202	望着你怦然心动	13	2	3
2202	望着你怦然心动	13	3	3
2202	望着你怦然心动	14	1	1
2202	望着你怦然心动	14	2	1
2202	望着你怦然心动	14	3	1
2203	人情味	1	1	1
2203	人情味	1	2	2
2203	人情味	1	3	2
2203	人情味	2	1	1
2203	人情味	2	2	1
2203	人情味	2	3	1
2203	人情味	3	1	3
2203	人情味	3	2	3
2203	人情味	3	3	3
2203	人情味	4	1	1
2203	人情味	4	2	1
2203	人情味	4	3	1
2203	人情味	11	1	1
2203	人情味	11	2	2
2203	人情味	11	3	2
2203	人情味	12	1	1
2203	人情味	12	2	1
2203	人情味	12	3	1
2203	人情味	13	1	1
2203	人情味	13	2	2
2203	人情味	13	3	2
2203	人情味	14	1	1
2203	人情味	14	2	1
2203	人情味	14	3	1
2203	人情味	21	1	1
2203	人情味	21	2	1
2203	人情味	21	3	1
2204	希望天空	1	1	1
2204	希望天空	1	2	1
2204	希望天空	1	3	1
2204	希望天空	2	1	1
2204	希望天空	2	2	1
2204	希望天空	2	3	1
2204	希望天空	3	1	1
2204	希望天空	3	2	1
2204	希望天空	3	3	1
2204	希望天空	4	1	1
2204	希望天空	4	2	1
2204	希望天空	4	3	1
2204	希望天空	11	1	1
2204	希望天空	11	2	1
2204	希望天空	11	3	1
2204	希望天空	12	1	1
2204	希望天空	12	2	1
2204	希望天空	12	3	1
2204	希望天空	13	1	1
2204	希望天空	13	2	1
2204	希望天空	13	3	1
2204	希望天空	14	1	1
2204	希望天空	14	2	1
2204	希望天空	14	3	1
2204	希望天空	21	1	1
2204	希望天空	21	2	1
2204	希望天空	21	3	1
2210	因为是女子	1	1	3
2210	因为是女子	1	2	3
2210	因为是女子	1	3	3
2210	因为是女子	2	1	1
2210	因为是女子	2	2	1
2210	因为是女子	2	3	1
2210	因为是女子	3	1	3
2210	因为是女子	3	2	3
2210	因为是女子	3	3	3
2210	因为是女子	4	1	1
2210	因为是女子	4	2	1
2210	因为是女子	4	3	1
2210	因为是女子	11	1	3
2210	因为是女子	11	2	3
2210	因为是女子	11	3	3
2210	因为是女子	12	1	1
2210	因为是女子	12	2	1
2210	因为是女子	12	3	1
2210	因为是女子	13	1	3
2210	因为是女子	13	2	3
2210	因为是女子	13	3	3
2210	因为是女子	14	1	1
2210	因为是女子	14	2	1
2210	因为是女子	14	3	1
2210	因为是女子	21	1	2
2210	因为是女子	21	2	2
2210	因为是女子	21	3	2
2211	不可以哭	1	1	2
2211	不可以哭	1	2	1
2211	不可以哭	1	3	1
2211	不可以哭	2	1	1
2211	不可以哭	2	2	1
2211	不可以哭	2	3	1
2211	不可以哭	3	1	2
2211	不可以哭	3	2	1
2211	不可以哭	3	3	1
2211	不可以哭	4	1	1
2211	不可以哭	4	2	1
2211	不可以哭	4	3	1
2211	不可以哭	11	1	2
2211	不可以哭	11	2	1
2211	不可以哭	11	3	1
2211	不可以哭	12	1	1
2211	不可以哭	12	2	1
2211	不可以哭	12	3	1
2211	不可以哭	13	1	2
2211	不可以哭	13	2	1
2211	不可以哭	13	3	1
2211	不可以哭	14	1	1
2211	不可以哭	14	2	1
2211	不可以哭	14	3	1
2211	不可以哭	21	1	1
2211	不可以哭	21	2	1
2211	不可以哭	21	3	1
2212	如果这就是爱情	1	1	1
2212	如果这就是爱情	1	2	1
2212	如果这就是爱情	1	3	1
2212	如果这就是爱情	2	1	3
2212	如果这就是爱情	2	2	3
2212	如果这就是爱情	2	3	3
2212	如果这就是爱情	3	1	1
2212	如果这就是爱情	3	2	1
2212	如果这就是爱情	3	3	1
2212	如果这就是爱情	4	1	3
2212	如果这就是爱情	4	2	3
2212	如果这就是爱情	4	3	3
2212	如果这就是爱情	11	1	1
2212	如果这就是爱情	11	2	1
2212	如果这就是爱情	11	3	1
2212	如果这就是爱情	12	1	3
2212	如果这就是爱情	12	2	3
2212	如果这就是爱情	12	3	3
2212	如果这就是爱情	13	1	1
2212	如果这就是爱情	13	2	1
2212	如果这就是爱情	13	3	1
2212	如果这就是爱情	14	1	3
2212	如果这就是爱情	14	2	3
2212	如果这就是爱情	14	3	3
2212	如果这就是爱情	21	1	3
2212	如果这就是爱情	21	2	3
2212	如果这就是爱情	21	3	3
2213	哭也可以	1	1	1
2213	哭也可以	1	2	1
2213	哭也可以	1	3	2
2213	哭也可以	2	1	1
2213	哭也可以	2	2	1
2213	哭也可以	2	3	1
2213	哭也可以	3	1	1
2213	哭也可以	3	2	1
2213	哭也可以	3	3	2
2213	哭也可以	4	1	1
2213	哭也可以	4	2	1
2213	哭也可以	4	3	1
2213	哭也可以	11	1	1
2213	哭也可以	11	2	1
2213	哭也可以	11	3	2
2213	哭也可以	12	1	1
2213	哭也可以	12	2	1
2213	哭也可以	12	3	1
2213	哭也可以	13	1	1
2213	哭也可以	13	2	1
2213	哭也可以	13	3	2
2213	哭也可以	14	1	1
2213	哭也可以	14	2	1
2213	哭也可以	14	3	1
2213	哭也可以	21	1	1
2213	哭也可以	21	2	1
2213	哭也可以	21	3	1
2214	Cry	1	1	3
2214	Cry	1	2	2
2214	Cry	1	3	2
2214	Cry	2	1	2
2214	Cry	2	2	2
2214	Cry	2	3	2
2214	Cry	3	1	3
2214	Cry	3	2	2
2214	Cry	3	3	2
2214	Cry	4	1	2
2214	Cry	4	2	2
2214	Cry	4	3	2
2214	Cry	11	1	3
2214	Cry	11	2	2
2214	Cry	11	3	2
2214	Cry	12	1	2
2214	Cry	12	2	2
2214	Cry	12	3	2
2214	Cry	13	1	3
2214	Cry	13	2	2
2214	Cry	13	3	2
2214	Cry	14	1	2
2214	Cry	14	2	2
2214	Cry	14	3	2
2214	Cry	21	1	2
2214	Cry	21	2	2
2214	Cry	21	3	2
2215	Lie	1	1	1
2215	Lie	1	2	1
2215	Lie	1	3	3
2215	Lie	2	1	1
2215	Lie	2	2	1
2215	Lie	2	3	1
2215	Lie	3	1	1
2215	Lie	3	2	1
2215	Lie	3	3	3
2215	Lie	4	1	1
2215	Lie	4	2	1
2215	Lie	4	3	1
2215	Lie	11	1	1
2215	Lie	11	2	1
2215	Lie	11	3	3
2215	Lie	12	1	1
2215	Lie	12	2	1
2215	Lie	12	3	1
2215	Lie	13	1	2
2215	Lie	13	2	2
2215	Lie	13	3	3
2215	Lie	14	1	1
2215	Lie	14	2	1
2215	Lie	14	3	1
2215	Lie	21	1	1
2215	Lie	21	2	1
2215	Lie	21	3	1
2216	都对也都错	1	1	1
2216	都对也都错	1	2	2
2216	都对也都错	1	3	2
2216	都对也都错	2	1	3
2216	都对也都错	2	2	3
2216	都对也都错	2	3	3
2216	都对也都错	3	1	1
2216	都对也都错	3	2	2
2216	都对也都错	3	3	2
2216	都对也都错	4	1	3
2216	都对也都错	4	2	3
2216	都对也都错	4	3	3
2216	都对也都错	11	1	1
2216	都对也都错	11	2	2
2216	都对也都错	11	3	2
2216	都对也都错	12	1	3
2216	都对也都错	12	2	3
2216	都对也都错	12	3	3
2216	都对也都错	13	1	1
2216	都对也都错	13	2	2
2216	都对也都错	13	3	2
2216	都对也都错	14	1	3
2216	都对也都错	14	2	3
2216	都对也都错	14	3	3
2216	都对也都错	21	1	3
2216	都对也都错	21	2	3
2216	都对也都错	21	3	3
2217	后天	1	1	3
2217	后天	1	2	3
2217	后天	1	3	3
2217	后天	2	1	3
2217	后天	2	2	3
2217	后天	2	3	3
2217	后天	3	1	3
2217	后天	3	2	3
2217	后天	3	3	3
2217	后天	4	1	3
2217	后天	4	2	3
2217	后天	4	3	3
2217	后天	11	1	3
2217	后天	11	2	3
2217	后天	11	3	3
2217	后天	12	1	3
2217	后天	12	2	3
2217	后天	12	3	3
2217	后天	13	1	3
2217	后天	13	2	3
2217	后天	13	3	3
2217	后天	14	1	3
2217	后天	14	2	3
2217	后天	14	3	3
2217	后天	21	1	3
2217	后天	21	2	3
2217	后天	21	3	3
2218	想去旅行	1	1	2
2218	想去旅行	1	2	3
2218	想去旅行	1	3	3
2218	想去旅行	2	1	1
2218	想去旅行	2	2	1
2218	想去旅行	2	3	1
2218	想去旅行	3	1	2
2218	想去旅行	3	2	3
2218	想去旅行	3	3	3
2218	想去旅行	4	1	1
2218	想去旅行	4	2	1
2218	想去旅行	4	3	1
2218	想去旅行	11	1	2
2218	想去旅行	11	2	3
2218	想去旅行	11	3	3
2218	想去旅行	12	1	1
2218	想去旅行	12	2	1
2218	想去旅行	12	3	1
2218	想去旅行	13	1	2
2218	想去旅行	13	2	3
2218	想去旅行	13	3	3
2218	想去旅行	14	1	1
2218	想去旅行	14	2	1
2218	想去旅行	14	3	1
2218	想去旅行	21	1	1
2218	想去旅行	21	2	1
2218	想去旅行	21	3	1
2219	Am I Wrong	1	1	2
2219	Am I Wrong	1	2	2
2219	Am I Wrong	1	3	3
2219	Am I Wrong	2	1	1
2219	Am I Wrong	2	2	1
2219	Am I Wrong	2	3	1
2219	Am I Wrong	3	1	2
2219	Am I Wrong	3	2	2
2219	Am I Wrong	3	3	3
2219	Am I Wrong	4	1	1
2219	Am I Wrong	4	2	1
2219	Am I Wrong	4	3	1
2219	Am I Wrong	11	1	2
2219	Am I Wrong	11	2	2
2219	Am I Wrong	11	3	3
2219	Am I Wrong	12	1	1
2219	Am I Wrong	12	2	1
2219	Am I Wrong	12	3	1
2219	Am I Wrong	13	1	2
2219	Am I Wrong	13	2	2
2219	Am I Wrong	13	3	3
2219	Am I Wrong	14	1	1
2219	Am I Wrong	14	2	1
2219	Am I Wrong	14	3	1
2219	Am I Wrong	21	1	1
2219	Am I Wrong	21	2	1
2219	Am I Wrong	21	3	1
2225	24K Magic	1	1	3
2225	24K Magic	1	2	3
2225	24K Magic	1	3	3
2225	24K Magic	2	1	1
2225	24K Magic	2	2	1
2225	24K Magic	2	3	1
2225	24K Magic	3	1	3
2225	24K Magic	3	2	3
2225	24K Magic	3	3	3
2225	24K Magic	4	1	1
2225	24K Magic	4	2	1
2225	24K Magic	4	3	1
2225	24K Magic	11	1	3
2225	24K Magic	11	2	3
2225	24K Magic	11	3	3
2225	24K Magic	12	1	1
2225	24K Magic	12	2	1
2225	24K Magic	12	3	1
2225	24K Magic	13	1	3
2225	24K Magic	13	2	3
2225	24K Magic	13	3	3
2225	24K Magic	14	1	1
2225	24K Magic	14	2	1
2225	24K Magic	14	3	1
2225	24K Magic	21	1	1
2225	24K Magic	21	2	1
2225	24K Magic	21	3	1
2226	血汗泪	1	1	2
2226	血汗泪	1	2	3
2226	血汗泪	1	3	3
2226	血汗泪	2	1	1
2226	血汗泪	2	2	1
2226	血汗泪	2	3	1
2226	血汗泪	3	1	2
2226	血汗泪	3	2	3
2226	血汗泪	3	3	3
2226	血汗泪	4	1	1
2226	血汗泪	4	2	1
2226	血汗泪	4	3	1
2226	血汗泪	11	1	2
2226	血汗泪	11	2	3
2226	血汗泪	11	3	3
2226	血汗泪	12	1	1
2226	血汗泪	12	2	1
2226	血汗泪	12	3	1
2226	血汗泪	13	1	2
2226	血汗泪	13	2	3
2226	血汗泪	13	3	3
2226	血汗泪	14	1	1
2226	血汗泪	14	2	1
2226	血汗泪	14	3	1
2226	血汗泪	21	1	1
2226	血汗泪	21	2	1
2226	血汗泪	21	3	1
2227	It's OK	1	1	1
2227	It's OK	1	2	1
2227	It's OK	1	3	1
2227	It's OK	2	1	1
2227	It's OK	2	2	1
2227	It's OK	2	3	1
2227	It's OK	3	1	1
2227	It's OK	3	2	1
2227	It's OK	3	3	1
2227	It's OK	4	1	1
2227	It's OK	4	2	1
2227	It's OK	4	3	1
2227	It's OK	11	1	1
2227	It's OK	11	2	1
2227	It's OK	11	3	1
2227	It's OK	12	1	1
2227	It's OK	12	2	1
2227	It's OK	12	3	1
2227	It's OK	13	1	1
2227	It's OK	13	2	1
2227	It's OK	13	3	1
2227	It's OK	14	1	1
2227	It's OK	14	2	1
2227	It's OK	14	3	1
2228	会听懂的吧	1	1	3
2228	会听懂的吧	1	2	3
2228	会听懂的吧	1	3	3
2228	会听懂的吧	2	1	1
2228	会听懂的吧	2	2	1
2228	会听懂的吧	2	3	1
2228	会听懂的吧	3	1	3
2228	会听懂的吧	3	2	3
2228	会听懂的吧	3	3	3
2228	会听懂的吧	4	1	1
2228	会听懂的吧	4	2	1
2228	会听懂的吧	4	3	1
2228	会听懂的吧	11	1	3
2228	会听懂的吧	11	2	3
2228	会听懂的吧	11	3	3
2228	会听懂的吧	12	1	1
2228	会听懂的吧	12	2	1
2228	会听懂的吧	12	3	1
2228	会听懂的吧	13	1	3
2228	会听懂的吧	13	2	3
2228	会听懂的吧	13	3	3
2228	会听懂的吧	14	1	1
2228	会听懂的吧	14	2	1
2228	会听懂的吧	14	3	1
2228	会听懂的吧	21	1	2
2228	会听懂的吧	21	2	2
2228	会听懂的吧	21	3	2
2229	大艺术家	1	1	3
2229	大艺术家	1	2	3
2229	大艺术家	1	3	3
2229	大艺术家	2	1	3
2229	大艺术家	2	2	3
2229	大艺术家	2	3	3
2229	大艺术家	3	1	3
2229	大艺术家	3	2	3
2229	大艺术家	3	3	3
2229	大艺术家	4	1	3
2229	大艺术家	4	2	3
2229	大艺术家	4	3	3
2229	大艺术家	11	1	3
2229	大艺术家	11	2	3
2229	大艺术家	11	3	3
2229	大艺术家	12	1	3
2229	大艺术家	12	2	3
2229	大艺术家	12	3	3
2229	大艺术家	14	1	3
2229	大艺术家	14	2	3
2229	大艺术家	14	3	3
2229	大艺术家	21	1	3
2229	大艺术家	21	2	3
2229	大艺术家	21	3	3
2230	很用力的再见	1	1	1
2230	很用力的再见	1	2	1
2230	很用力的再见	1	3	1
2230	很用力的再见	2	1	3
2230	很用力的再见	2	2	3
2230	很用力的再见	2	3	3
2230	很用力的再见	3	1	1
2230	很用力的再见	3	2	1
2230	很用力的再见	3	3	1
2230	很用力的再见	4	1	3
2230	很用力的再见	4	2	3
2230	很用力的再见	4	3	3
2230	很用力的再见	11	1	1
2230	很用力的再见	11	2	1
2230	很用力的再见	11	3	1
2230	很用力的再见	12	1	3
2230	很用力的再见	12	2	3
2230	很用力的再见	12	3	3
2230	很用力的再见	13	1	1
2230	很用力的再见	13	2	1
2230	很用力的再见	13	3	1
2230	很用力的再见	14	1	3
2230	很用力的再见	14	2	3
2230	很用力的再见	14	3	3
2230	很用力的再见	21	1	2
2230	很用力的再见	21	2	2
2230	很用力的再见	21	3	2
2231	Take A Bow	1	1	1
2231	Take A Bow	1	2	1
2231	Take A Bow	1	3	1
2231	Take A Bow	2	1	1
2231	Take A Bow	2	2	1
2231	Take A Bow	2	3	1
2231	Take A Bow	3	1	1
2231	Take A Bow	3	2	1
2231	Take A Bow	3	3	1
2231	Take A Bow	4	1	1
2231	Take A Bow	4	2	1
2231	Take A Bow	4	3	1
2231	Take A Bow	11	1	1
2231	Take A Bow	11	2	1
2231	Take A Bow	11	3	1
2231	Take A Bow	12	1	1
2231	Take A Bow	12	2	1
2231	Take A Bow	12	3	1
2231	Take A Bow	13	1	1
2231	Take A Bow	13	2	1
2231	Take A Bow	13	3	1
2231	Take A Bow	14	1	1
2231	Take A Bow	14	2	1
2231	Take A Bow	14	3	1
2232	千本桜	1	1	3
2232	千本桜	1	2	3
2232	千本桜	1	3	3
2232	千本桜	2	1	3
2232	千本桜	2	2	3
2232	千本桜	2	3	3
2232	千本桜	3	1	3
2232	千本桜	3	2	3
2232	千本桜	3	3	3
2232	千本桜	4	1	3
2232	千本桜	4	2	3
2232	千本桜	4	3	3
2232	千本桜	11	1	3
2232	千本桜	11	2	3
2232	千本桜	11	3	3
2232	千本桜	12	1	3
2232	千本桜	12	2	3
2232	千本桜	12	3	3
2232	千本桜	14	1	3
2232	千本桜	14	2	3
2232	千本桜	14	3	3
2232	千本桜	21	1	3
2232	千本桜	21	2	3
2232	千本桜	21	3	3
2233	某时某刻 Catch Me When I Fall	1	1	1
2233	某时某刻 Catch Me When I Fall	1	2	2
2233	某时某刻 Catch Me When I Fall	1	3	2
2233	某时某刻 Catch Me When I Fall	2	1	1
2233	某时某刻 Catch Me When I Fall	2	2	1
2233	某时某刻 Catch Me When I Fall	2	3	1
2233	某时某刻 Catch Me When I Fall	3	1	1
2233	某时某刻 Catch Me When I Fall	3	2	2
2233	某时某刻 Catch Me When I Fall	3	3	2
